Team,Statistic,Median of Statistic,Mean of Statistic,Std of Statistic
Arsenal,Matches Played,23.5,23.272727272727273,8.066283844803321
Aston Villa,Matches Played,20.5,19.428571428571427,10.333077313776704
Bournemouth,Matches Played,26.0,22.217391304347824,10.180000543575314
Brentford,Matches Played,28.0,23.523809523809526,11.382526290850585
Brighton,Matches Played,21.0,19.535714285714285,10.035057595867647
Chelsea,Matches Played,18.0,19.692307692307693,11.2632827568848
Crystal Palace,Matches Played,30.0,24.047619047619047,10.632385388407393
Everton,Matches Played,24.0,22.40909090909091,9.287262608177222
Fulham,Matches Played,27.0,24.5,9.328655290223214
Ipswich Town,Matches Played,18.5,18.2,9.01493014488972
Leicester City,Matches Played,21.5,20.23076923076923,9.717232907809475
Liverpool,Matches Played,28.0,25.19047619047619,8.92535180045609
Manchester City,Matches Played,23.0,19.88,8.973665174646683
Manchester Utd,Matches Played,20.0,17.666666666666668,11.454056150501906
Newcastle Utd,Matches Played,27.0,23.217391304347824,10.144216989986017
Nott'ham Forest,Matches Played,30.0,24.5,10.88795752414653
Southampton,Matches Played,20.0,18.655172413793103,10.379498549919608
Tottenham,Matches Played,22.0,19.333333333333332,9.232051193032305
West Ham,Matches Played,20.0,21.56,8.52975185258438
Wolves,Matches Played,26.0,22.782608695652176,8.923699404798084
Arsenal,Starts,16.5,17.5,10.395740886123923
Aston Villa,Starts,9.5,13.75,11.660712766474536
Bournemouth,Starts,17.0,16.695652173913043,11.632379505691295
Brentford,Starts,21.0,18.333333333333332,13.297869503545796
Brighton,Starts,10.0,13.75,10.127428835336973
Chelsea,Starts,11.5,14.807692307692308,11.79158761412298
Crystal Palace,Starts,19.0,18.238095238095237,12.87208126879551
Everton,Starts,15.0,17.454545454545453,10.649065564761887
Fulham,Starts,17.5,17.454545454545453,11.496282101814575
Ipswich Town,Starts,11.5,12.833333333333334,9.684980669816161
Leicester City,Starts,15.0,14.807692307692308,9.968025805621616
Liverpool,Starts,20.0,18.333333333333332,11.921968517544965
Manchester City,Starts,17.0,15.36,8.625929901562305
Manchester Utd,Starts,11.5,12.833333333333334,10.780196829286602
Newcastle Utd,Starts,14.0,16.73913043478261,12.588657922923923
Nott'ham Forest,Starts,19.0,17.5,13.3014499746671
Southampton,Starts,13.0,13.241379310344827,9.840351229263666
Tottenham,Starts,16.0,14.222222222222221,8.092414935430554
West Ham,Starts,14.0,15.4,10.862780491200215
Wolves,Starts,15.0,16.652173913043477,10.907081501367374
Arsenal,Minutes,1478.5,1564.4545454545455,902.9764921937589
Aston Villa,Minutes,1004.0,1235.357142857143,943.1826033597222
Bournemouth,Minutes,1670.0,1494.608695652174,1004.3940615266696
Brentford,Minutes,1913.0,1638.095238095238,1122.0364479268
Brighton,Minutes,929.5,1233.8214285714287,890.9927070230451
Chelsea,Minutes,1046.5,1329.5,1029.0452371008769
Crystal Palace,Minutes,1652.0,1633.047619047619,1082.8501039474706
Everton,Minutes,1357.5,1565.2272727272727,904.2691830485297
Fulham,Minutes,1620.5,1568.2727272727273,963.243685818079
Ipswich Town,Minutes,984.5,1146.7666666666667,798.9912900709215
Leicester City,Minutes,1408.0,1329.1923076923076,824.5063016972408
Liverpool,Minutes,1717.0,1643.095238095238,977.4990488364633
Manchester City,Minutes,1494.0,1381.36,766.2823065511386
Manchester Utd,Minutes,1071.0,1149.6666666666667,931.0153276020138
Newcastle Utd,Minutes,1503.0,1502.8695652173913,1050.9113060208888
Nott'ham Forest,Minutes,1804.0,1572.6818181818182,1104.9251380098385
Southampton,Minutes,1178.0,1184.3103448275863,856.2372878492552
Tottenham,Minutes,1300.0,1277.7777777777778,694.5650732837356
West Ham,Minutes,1070.0,1381.52,914.3885078747071
Wolves,Minutes,1364.0,1495.2173913043478,875.6224776238662
Arsenal,Goals,2.0,2.8181818181818183,2.8053751745764544
Aston Villa,Goals,1.0,1.8928571428571428,3.2924074914790067
Bournemouth,Goals,1.0,2.347826086956522,3.5879684762496544
Brentford,Goals,0.0,2.9047619047619047,5.539898572219188
Brighton,Goals,1.0,1.9642857142857142,2.9997795333452837
Chelsea,Goals,1.0,2.269230769230769,3.650289767212376
Crystal Palace,Goals,0.0,1.9047619047619047,3.404478842712374
Everton,Goals,1.0,1.5,2.1325147238926743
Fulham,Goals,0.5,2.227272727272727,3.2649920612726087
Ipswich Town,Goals,0.0,1.1333333333333333,2.315365962484092
Leicester City,Goals,0.0,1.1153846153846154,2.006527808467614
Liverpool,Goals,1.0,3.8095238095238093,6.493219907095768
Manchester City,Goals,1.0,2.64,4.4147480109288235
Manchester Utd,Goals,0.0,1.3333333333333333,2.264163594268134
Newcastle Utd,Goals,0.0,2.782608695652174,5.1870163234677555
Nott'ham Forest,Goals,1.0,2.409090909090909,4.159430946760121
Southampton,Goals,0.0,0.8275862068965517,1.0713464664764276
Tottenham,Goals,1.0,2.2222222222222223,3.2502465389724766
West Ham,Goals,0.0,1.48,2.5999999999999996
Wolves,Goals,1.0,2.1739130434782608,3.9387604639143596
Arsenal,Assists,1.5,2.3181818181818183,2.7496556258204516
Aston Villa,Assists,0.0,1.5,2.3959842947608694
Bournemouth,Assists,1.0,1.6956521739130435,2.0545909260769615
Brentford,Assists,2.0,1.9523809523809523,2.4387740870402586
Brighton,Assists,1.0,1.3214285714285714,1.6113847605587084
Chelsea,Assists,1.0,1.7307692307692308,2.2549091743605514
Crystal Palace,Assists,1.0,1.5238095238095237,2.0885173597326796
Everton,Assists,1.0,1.0,1.1126972805283737
Fulham,Assists,1.0,1.9090909090909092,2.561790499391112
Ipswich Town,Assists,0.0,0.8333333333333334,1.0854312136382618
Leicester City,Assists,0.0,0.8461538461538461,1.189699380257305
Liverpool,Assists,2.0,2.857142857142857,3.9910614413425693
Manchester City,Assists,0.0,1.92,2.564501251055781
Manchester Utd,Assists,0.0,0.9333333333333333,1.99885024422806
Newcastle Utd,Assists,1.0,2.0869565217391304,2.8430624250215066
Nott'ham Forest,Assists,1.0,1.7727272727272727,2.4867614851414044
Southampton,Assists,0.0,0.5172413793103449,0.8289705171033536
Tottenham,Assists,1.0,1.7037037037037037,2.38286858178597
West Ham,Assists,1.0,0.96,1.5132745950421556
Wolves,Assists,1.0,1.6956521739130435,2.224548628551535
Arsenal,Yellow Cards,2.5,2.909090909090909,1.9738550848793068
Aston Villa,Yellow Cards,2.0,2.4285714285714284,2.251395804558378
Bournemouth,Yellow Cards,3.0,3.869565217391304,3.0793202884297664
Brentford,Yellow Cards,2.0,2.5238095238095237,1.8873009198071093
Brighton,Yellow Cards,2.0,2.6785714285714284,2.5970577572917004
Chelsea,Yellow Cards,2.5,3.6923076923076925,3.197114083284871
Crystal Palace,Yellow Cards,2.0,3.619047619047619,3.3686227226596697
Everton,Yellow Cards,3.0,3.409090909090909,2.1747269321542944
Fulham,Yellow Cards,2.5,3.409090909090909,2.9866224099998684
Ipswich Town,Yellow Cards,2.0,2.966666666666667,2.6455340811852426
Leicester City,Yellow Cards,2.0,3.1153846153846154,2.6431333387012175
Liverpool,Yellow Cards,3.0,3.0476190476190474,2.2688364964490164
Manchester City,Yellow Cards,2.0,2.32,1.74928556845359
Manchester Utd,Yellow Cards,2.0,2.6,2.4719111690322144
Newcastle Utd,Yellow Cards,2.0,2.608695652173913,3.026235742105763
Nott'ham Forest,Yellow Cards,3.0,3.727272727272727,3.2393682244392186
Southampton,Yellow Cards,2.0,2.8620689655172415,2.9486575387433813
Tottenham,Yellow Cards,2.0,2.4444444444444446,2.325995788959303
West Ham,Yellow Cards,2.0,2.96,2.6532998322843198
Wolves,Yellow Cards,2.0,3.217391304347826,2.74617952368096
Arsenal,Red Cards,0.0,0.22727272727272727,0.5284134548067253
Aston Villa,Red Cards,0.0,0.07142857142857142,0.262265264156481
Bournemouth,Red Cards,0.0,0.08695652173913043,0.2881040655200304
Brentford,Red Cards,0.0,0.047619047619047616,0.21821789023599236
Brighton,Red Cards,0.0,0.10714285714285714,0.314970394174356
Chelsea,Red Cards,0.0,0.038461538461538464,0.19611613513818402
Crystal Palace,Red Cards,0.0,0.19047619047619047,0.40237390808147827
Everton,Red Cards,0.0,0.09090909090909091,0.29424494316824984
Fulham,Red Cards,0.0,0.09090909090909091,0.29424494316824984
Ipswich Town,Red Cards,0.0,0.16666666666666666,0.3790490217894517
Leicester City,Red Cards,0.0,0.0,0.0
Liverpool,Red Cards,0.0,0.09523809523809523,0.30079260375911915
Manchester City,Red Cards,0.0,0.04,0.2
Manchester Utd,Red Cards,0.0,0.1,0.40257789993644877
Newcastle Utd,Red Cards,0.0,0.043478260869565216,0.20851441405707474
Nott'ham Forest,Red Cards,0.0,0.09090909090909091,0.2942449431682498
Southampton,Red Cards,0.0,0.10344827586206896,0.4092525928189875
Tottenham,Red Cards,0.0,0.037037037037037035,0.19245008972987523
West Ham,Red Cards,0.0,0.12,0.33166247903553997
Wolves,Red Cards,0.0,0.08695652173913043,0.2881040655200304
Arsenal,xG,1.65,2.5636363636363635,2.6409856483527494
