Name,Nation,Position,Team,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals against per 90,Save%,Clean Sheets %,Penalty Save %,Shoots on target percentage,Shoot on target per 90,Goals per shot,Average shoot distance,Pass completed,Pass completion,Progressive passing distance,Short pass completion,Medium pass completion,Long pass completion,Key passes,Pass in to final third,Pass in to penalty are,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att,Lost_x,Blocks,Sh,Pass,Int,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,att,Succ%,Tkld%,Carries,ProDist,ProgC,1/3,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%,transfer_value
Aaron Ramsdale,eng ENG,GK,Southampton,26-359,27,27,2430.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.30,67.1,7.4,28.6,,0.0,,,715,64.6,20052,99.5,96.2,38.6,0,33,1,0,0,0.11,2,0.0,0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,0,,723,2159,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0,€18.7M
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-163,33,32,2884.0,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,18817,89.9,81.1,46.0,30,89,32,11,132,2.65,68,0.25,7,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,57,34.3,961,3383,101,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3,€26.9M
Abdoulaye Doucouré,ml MLI,MF,Everton,32-127,30,29,2425.0,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,2.0,48,0.07,1,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,23,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,€5.8M
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-087,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,1.37,12,0.29,1,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,6,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,
Adam Smith,eng ENG,DF,Bournemouth,34-009,22,17,1409.0,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,1.28,15,0.13,1,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,6,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,€1.5M
Adam Wharton,eng ENG,MF,Crystal Palace,20-340,20,16,1318.0,0,2,2,0,0.4,3.0,14,107,11,0.0,0.14,0.03,0.21,N/a,N/a,N/a,N/a,38.5,0.34,0.0,25.4,548,75.6,10271,82.5,80.1,65.4,26,78,18,5,107,4.03,45,0.41,4,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,2,80.0,430,1078,14,23,2,17,13,533,11,12,21,0,39,102,7,16,30.4,€48.9M
Adama Traoré,es ESP,"FW,MF",Fulham,29-103,33,16,1592.0,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,29.7,0.62,0.05,14.3,386,72.0,6023,81.4,73.4,55.1,38,32,33,18,61,4.3,61,0.51,8,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,47,37.6,490,2268,89,42,33,34,21,556,145,20,29,1,92,78,24,26,48.0,€8M
Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-311,34,23,2146.0,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,N/a,N/a,N/a,N/a,34.9,1.22,0.07,17.2,635,79.1,8921,88.6,82.9,60.0,35,21,24,4,56,3.4,62,0.25,4,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,26,60.9,819,3176,139,72,66,63,48,864,281,12,41,10,52,108,3,23,11.5,€60.7M
Alex Iwobi,ng NGA,"FW,MF",Fulham,29-005,35,33,2796.0,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,N/a,N/a,N/a,N/a,44.4,0.9,0.14,18.2,1057,74.4,18132,85.8,77.7,53.8,56,107,78,17,199,3.7,99,0.52,13,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,43,44.8,1218,4098,135,102,37,55,38,1345,224,17,17,5,120,126,6,31,16.2,€30.3M
Alex Palmer,eng ENG,GK,Ipswich Town,28-271,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.45,58.7,0.0,0.0,,0.0,,,241,67.7,7340,95.8,100.0,43.8,1,7,0,0,1,0.18,2,0.0,0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,0,,180,604,0,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0,€1.6M
